id,price_doc
30474,3545641.30933
30475,8573296.75747
30476,4771987.65832
30477,6051600.63119
30478,4656221.09745
30479,7282558.18192
30480,4522129.79882
30481,4271409.93308
30482,4252747.52499
30483,4947830.12154
30484,6577846.0082
30485,4579780.63486
30486,3648557.67924
30487,4219970.24277
30488,8007259.56889
30489,6524890.6721
30490,18542888.435
30491,16254585.8877
30492,6171881.67494
30493,15276392.9937
30494,6943241.98384
30495,8981079.41858
30496,7424429.66816
30497,8801644.38726
30498,2942114.75276
30499,5353721.10815
30500,11341500.269
30501,5672104.42655
30502,3123232.20442
30503,5075949.73181
30504,5877260.92299
30505,12222960.7161
30506,2880146.42855
30507,4756451.99183
30508,5582519.99264
30509,7269453.60485
30510,9756621.31489
30511,5380730.94235
30512,7117933.48098
30513,4730616.29959
30514,3385415.10868
30515,9495560.36468
30516,5930386.49555
30517,8775449.69377
30518,6123179.26317
30519,4572550.58274
30520,6349291.53145
30521,3834485.24358
30522,6827823.13341
30523,5869507.17474
30524,8116335.8553
30525,7322324.56404
30526,4980047.98785
30527,5144209.71379
30528,4900230.10799
30529,5278375.53042
30530,5539615.43587
30531,9512747.57877
30532,5116032.34317
30533,5632526.44281
30534,7180891.75802
30535,9658150.36581
30536,6067234.92182
30537,10777294.3765
30538,4374147.24978
30539,9403294.3345
30540,9877898.34762
30541,7609214.22791
30542,2076301.35252
30543,4930317.20297
30544,6002533.3365
30545,8559510.62165
30546,3673079.45772
30547,10072577.8929
30548,4820461.90791
30549,5167330.986
30550,10999224.1952
30551,5225937.62372
30552,1976360.1743
30553,5983294.78118
30554,11749171.4563
30555,6184984.52265
30556,7594321.34817
30557,8351735.47137
30558,8986853.77362
30559,6139545.50634
30560,5826685.86841
30561,5967205.42409
30562,12097242.2521
30563,3902585.42068
30564,6614949.95436
30565,8122087.82284
30566,6931528.63177
30567,2084449.61053
30568,7173208.22277
30569,8483957.66883
30570,4614894.96679
30571,7727226.32237
30572,5181355.24273
30573,6594541.77324
30574,4832893.11354
30575,7674530.28504
30576,4835148.25233
30577,2637902.72054
30578,2824662.99022
30579,6476310.57518
30580,4638972.30076
30581,3110586.82535
30582,10673337.0651
30583,6981313.89544
30584,4160654.02824
30585,2599139.5393
30586,9793353.50538
30587,6055356.83459
30588,7125561.17356
30589,7833830.89569
30590,11555617.857
30591,4477532.63443
30592,6422753.67716
30593,7568177.02831
30594,8059988.69627
30595,5220004.90379
30596,6220940.92066
30597,6556388.65279
30598,10191323.2407
30599,12244818.3044
30600,5080981.15712
30601,5709329.55905
30602,1986848.19071
30603,13598648.8282
30604,3231291.70628
30605,6807109.44697
30606,20687637.5355
30607,5745630.81423
30608,9439113.41378
30609,6293816.7363
30610,2966659.60049
30611,5783506.66002
30612,5555865.7129
30613,6481710.40141
30614,17934650.2318
30615,6477557.24058
30616,5811263.5083
30617,8701675.22091
30618,4517696.04872
30619,3476022.50437
30620,2762708.24124
30621,10061046.3608
30622,7969228.12671
30623,5469538.29868
30624,6803156.64385
30625,7753186.78772
30626,6203151.66518
30627,6943925.86235
30628,6534301.46174
30629,3469412.9598
30630,4608330.66487
30631,6119912.54921
30632,4369221.57554
30633,5763190.17892
30634,11929145.4473
30635,10041691.9467
30636,3995330.71966
30637,10148408.6107
30638,4732023.83681
30639,7555060.96081
30640,4908615.17877
30641,7645145.49117
30642,4536500.76545
30643,9138870.45659
30644,10173671.891
30645,5229145.50335
30646,4594051.90415
30647,5214038.82263
30648,17635614.4165
30649,2599429.31679
30650,3094226.50932
30651,2751230.47039
30652,4886245.18375
30653,4786132.7809
30654,4706432.2959
30655,11794206.6739
30656,3973628.65894
30657,5240755.49205
30658,7452540.97087
30659,4451296.22974
30660,7851014.62941
30661,6300317.06718
30662,9152264.68494
30663,16093871.7489
30664,14378277.3879
30665,6495364.3058
30666,2676296.93939
30667,4240001.32288
30668,8535247.43102
30669,4995158.72252
30670,3000549.29026
30671,7473552.34235
30672,14307692.4515
30673,6350122.7655
30674,12477103.3735
30675,2094745.2835
30676,5938749.23695
30677,3846733.02047
30678,14887734.1645
30679,5138462.83774
30680,4608342.78223
30681,2354354.37889
30682,6417078.39517
30683,10727782.7391
30684,4444331.74099
30685,5737985.00193
30686,9779393.66371
30687,4734958.13532
30688,4398544.29971
30689,12780867.6047
30690,18422346.0703
30691,4621259.08327
30692,6269455.19658
30693,9052355.73984
30694,4399679.65143
30695,5559192.91735
30696,6926757.01984
30697,12685641.9383
30698,6502075.47844
30699,4510218.38583
30700,5095675.06721
30701,10207625.7452
30702,6394840.00805
30703,3967353.23217
30704,10892780.0647
30705,9322072.70681
30706,15701936.8684
30707,3314800.76807
30708,14469806.5711
30709,5686252.95965
30710,6001123.77255
30711,5050353.53381
30712,4343373.13266
30713,4761569.86356
30714,6557854.87865
30715,4452850.13457
30716,10768629.7728
30717,5700342.75707
30718,10566801.2687
30719,9470848.14876
30720,7191119.3181
30721,2983226.53406
30722,7337766.57715
30723,7312259.68395
30724,12717375.7856
30725,3639235.61867
30726,11851585.2888
30727,9872579.88386
30728,10203046.8145
30729,3206492.65222
30730,5110193.13008
30731,6385703.66899
30732,5264823.20095
30733,7869199.75143
30734,6766568.82215
30735,5877597.80245
30736,5833635.46807
30737,4761429.99401
30738,6119118.34429
30739,3315054.1848
30740,7032821.75139
30741,8291813.28934
30742,4631069.22202
30743,4910673.8291
30744,10485791.7171
30745,5557252.98885
30746,5799306.16082
30747,14250080.5893
30748,16740124.4824
30749,5336299.48891
30750,7129755.94976
30751,3577304.57152
30752,5269508.85157
30753,10475714.1886
30754,5403052.69841
30755,3607557.76942
30756,8334475.70596
30757,4113671.35115
30758,7357776.51337
30759,6241180.90773
30760,3685877.60745
30761,8550641.63914
30762,6569926.66015
30763,11649624.1974
30764,6579147.53692
30765,4139032.50974
30766,4081042.49223
30767,7462621.01675
30768,4851057.03518
30769,5141160.23668
30770,6585474.67389
30771,3167752.34129
30772,8075513.6992
30773,7876864.21208
30774,5885387.44802
30775,11197109.9543
30776,3770437.56681
30777,6284423.50146
30778,9177316.47037
30779,4784900.48986
30780,8836352.06204
30781,6855378.85503
30782,4534579.39787
30783,5658645.24517
30784,3910749.95051
30785,3417145.5176
30786,4839978.56258
30787,6422859.22632
30788,5395536.24503
30789,6946092.60619
30790,4938211.40214
30791,11453000.8793
30792,7028407.92584
30793,10480415.1964
30794,14597391.6779
30795,11796773.0264
30796,6640661.09385
30797,15719507.7258
30798,3348898.04708
30799,10357171.4698
30800,14192832.7581
30801,6454386.06772
30802,17213946.8312
30803,2687538.5251
30804,3516829.19046
30805,14322650.4842
30806,7156390.76775
30807,4563898.22795
30808,10908423.685
30809,5158467.98104
30810,9467549.17175
30811,4510035.74284
30812,5030945.06187
30813,5133529.47611
30814,3508004.0811
30815,3802858.28042
30816,5910013.28624
30817,2180347.70768
30818,7404240.39347
30819,9612036.82538
30820,2873887.62427
30821,18920763.7832
30822,11223251.9299
30823,6178060.47419
30824,3520005.00362
30825,4332842.35029
30826,10662850.3972
30827,5324303.29495
30828,4996073.06886
30829,3429714.15114
30830,10180913.3438
30831,5349457.97967
30832,4514212.22495
30833,5100504.02456
30834,4364762.9202
30835,7094925.82105
30836,6772578.05747
30837,4475122.51454
